comuna_residencia,region_residencia,semana,Entero,Porc_label
Aisén,Región de Aysén del General Carlos Ibáñez del Campo,4,4000,0.4
Aisén,Región de Aysén del General Carlos Ibáñez del Campo,12,7999,0.8
Aisén,Región de Aysén del General Carlos Ibáñez del Campo,14,19998,2.0
Aisén,Región de Aysén del General Carlos Ibáñez del Campo,15,23998,2.4
Aisén,Región de Aysén del General Carlos Ibáñez del Campo,16,31997,3.2
Aisén,Región de Aysén del General Carlos Ibáñez del Campo,17,39997,4.0
Aisén,Región de Aysén del General Carlos Ibáñez del Campo,18,55996,5.6
Aisén,Región de Aysén del General Carlos Ibáñez del Campo,19,71994,7.2
Aisén,Región de Aysén del General Carlos Ibáñez del Campo,20,111991,11.2
Aisén,Región de Aysén del General Carlos Ibáñez del Campo,21,147988,14.8
Aisén,Región de Aysén del General Carlos Ibáñez del Campo,22,171986,17.2
Aisén,Región de Aysén del General Carlos Ibáñez del Campo,23,187985,18.8
Aisén,Región de Aysén del General Carlos Ibáñez del Campo,24,259979,26.0
Aisén,Región de Aysén del General Carlos Ibáñez del Campo,25,271978,27.2
Aisén,Región de Aysén del General Carlos Ibáñez del Campo,26,283977,28.4
Aisén,Región de Aysén del General Carlos Ibáñez del Campo,28,291977,29.2
Aisén,Región de Aysén del General Carlos Ibáñez del Campo,29,299976,30.0
Aisén,Región de Aysén del General Carlos Ibáñez del Campo,30,311975,31.2
Aisén,Región de Aysén del General Carlos Ibáñez del Campo,31,347972,34.8
Aisén,Región de Aysén del General Carlos Ibáñez del Campo,32,379970,38.0
Aisén,Región de Aysén del General Carlos Ibáñez del Campo,33,387969,38.8
Aisén,Región de Aysén del General Carlos Ibáñez del Campo,34,407967,40.8
Aisén,Región de Aysén del General Carlos Ibáñez del Campo,35,431965,43.2
Aisén,Región de Aysén del General Carlos Ibáñez del Campo,36,463963,46.4
Aisén,Región de Aysén del General Carlos Ibáñez del Campo,37,475962,47.6
Aisén,Región de Aysén del General Carlos Ibáñez del Campo,38,527958,52.8
Aisén,Región de Aysén del General Carlos Ibáñez del Campo,39,575954,57.6
Aisén,Región de Aysén del General Carlos Ibáñez del Campo,40,611951,61.2
Aisén,Región de Aysén del General Carlos Ibáñez del Campo,41,627950,62.8
Aisén,Región de Aysén del General Carlos Ibáñez del Campo,42,643948,64.4
Aisén,Región de Aysén del General Carlos Ibáñez del Campo,43,675946,67.6
Aisén,Región de Aysén del General Carlos Ibáñez del Campo,44,703944,70.4
Aisén,Región de Aysén del General Carlos Ibáñez del Campo,45,751940,75.2
Algarrobo,Región de Valparaíso,4,6590,0.7
Algarrobo,Región de Valparaíso,5,59312,5.9
Algarrobo,Región de Valparaíso,7,65902,6.6
Algarrobo,Región de Valparaíso,9,72492,7.2
Algarrobo,Región de Valparaíso,10,85673,8.6
Algarrobo,Región de Valparaíso,11,131804,13.2
Algarrobo,Región de Valparaíso,12,217477,21.7
Algarrobo,Región de Valparaíso,13,283379,28.3
Algarrobo,Región de Valparaíso,14,309740,31.0
Algarrobo,Región de Valparaíso,15,434955,43.5
Algarrobo,Región de Valparaíso,16,527218,52.7
Algarrobo,Región de Valparaíso,17,566759,56.7
Algarrobo,Región de Valparaíso,18,619481,61.9
Algarrobo,Región de Valparaíso,19,626071,62.6
Algarrobo,Región de Valparaíso,20,652432,65.2
Algarrobo,Región de Valparaíso,21,678793,67.9
Algarrobo,Región de Valparaíso,24,685383,68.5
Algarrobo,Región de Valparaíso,25,698563,69.9
Algarrobo,Región de Valparaíso,26,744695,74.5
Algarrobo,Región de Valparaíso,27,830368,83.0
Algarrobo,Región de Valparaíso,28,876499,87.6
Algarrobo,Región de Valparaíso,29,902860,90.3
Algarrobo,Región de Valparaíso,30,948992,94.9
Algarrobo,Región de Valparaíso,31,962172,96.2
Algarrobo,Región de Valparaíso,32,1041255,104.1
Algarrobo,Región de Valparaíso,33,1067616,106.8
Algarrobo,Región de Valparaíso,34,1074206,107.4
Algarrobo,Región de Valparaíso,35,1166469,116.6
Algarrobo,Región de Valparaíso,36,1238961,123.9
Algarrobo,Región de Valparaíso,37,1258732,125.9
Algarrobo,Región de Valparaíso,38,1271912,127.2
Algarrobo,Región de Valparaíso,39,1298273,129.8
Algarrobo,Región de Valparaíso,40,1403717,140.4
Algarrobo,Región de Valparaíso,41,1449848,145.0
Algarrobo,Región de Valparaíso,42,1482800,148.3
Algarrobo,Región de Valparaíso,43,1509160,150.9
Algarrobo,Región de Valparaíso,44,1528931,152.9
